FELH650
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 269.23;    8.001;  -10.074;   37.604;37.91066
 269.83;   -5.029;    1.019;   25.151;-25.05948
 270.43;   12.532;   -3.709;   36.062;40.83509
 271.03;    5.491;    1.053;   31.212;14.71452
 271.63;   -0.047;   -0.484;   29.957; 1.43681
 272.23;   -0.082;    0.315;   27.168;-1.47828
 272.83;    6.984;    0.181;   24.468;28.01146
 273.43;    1.822;   -3.443;   28.348;16.55939
 274.03;    1.780;   -6.949;   25.335;27.03901
 274.63;   -1.749;   -1.547;   28.600;-0.66724
 275.23;   -0.015;   -5.014;   28.387;14.96806
 275.83;    7.501;   -2.513;   25.025;36.36300
 276.43;   -6.501;    0.213;   20.447;-33.18120
 277.02;    0.518;   -6.881;   26.134;22.41090
 277.62;   -0.253;   -1.885;   21.799; 6.89310
 278.22;    5.450;    2.789;   30.264; 9.68535
 278.82;   -8.624;   -5.584;   30.870;-8.33889
 279.42;   -6.283;   -3.149;   23.338;-11.83011
 280.02;    6.053;   -0.408;   33.369;19.13032
 280.62;    4.759;    1.221;   29.348;12.57891
 281.22;    2.913;   -8.380;   28.372;30.72783
 281.82;    4.407;   -5.083;   23.624;33.05985
 282.42;    7.753;   -5.779;   33.183;34.73058
 283.02;    4.864;   -1.713;   33.723;18.55896
 283.62;    5.069;   -0.411;   34.861;15.53785
 284.22;   -2.252;   -5.755;   20.896;13.14182
 284.81;   -0.156;   -4.214;   28.029;12.58539
 285.41;    1.374;    0.815;   26.015; 2.21846
 286.01;    5.111;   -3.845;   35.205;22.93480
 286.61;    5.202;   -4.247;   27.852;29.43757
 287.21;   -0.331;   -3.516;   25.242;11.07211
 287.81;    1.151;   -4.285;   33.748;14.29198
 288.41;    4.147;   -5.480;   28.192;28.59069
 289.01;    2.644;   -6.517;   26.560;27.69678
 289.61;    9.929;   -7.678;   32.943;43.34415
 290.20;    1.089;   -1.083;   28.466; 7.35175
 290.80;    6.950;   -0.211;   41.044;17.35653
 291.40;    4.832;  -10.449;   34.827;33.75099
 292.00;    4.246;    0.246;   34.150;11.79716
 292.60;    6.424;    1.446;   24.243;21.83775
 293.20;    4.288;    4.348;   34.517;-0.20067
 293.80;    7.955;   -3.488;   33.447;30.98034
 294.40;    7.879;   -2.280;   41.185;23.37285
 294.99;    3.103;   -6.355;   29.789;26.16678
 295.59;    3.453;   -6.915;   41.094;21.59536
 296.19;    1.828;    4.044;   33.802;-7.44712
 296.79;    4.864;   -0.182;   43.667;11.50688
 297.39;   14.683;    0.085;   37.645;38.86570
 297.99;    6.326;   -5.886;   43.346;24.80523
 298.59;   11.709;   -5.785;   32.724;45.42929
 299.18;   -3.745;   -9.092;   27.682;14.53965
 299.78;    2.934;   -7.720;   33.190;26.04336
 300.38;    5.784;   -5.916;   38.084;26.58908
 300.98;    6.136;    0.410;   31.827;18.22435
 301.58;    4.261;   -5.622;   30.916;27.04884
 302.18;   -0.799;    0.914;   25.090;-7.08299
 302.77;    8.524;   -6.311;   42.901;30.14540
 303.37;   -2.938;   -4.959;   28.833; 5.97880
 303.97;    2.770;   -4.483;   35.535;18.12377
 304.57;    1.789;   -3.991;   28.998;17.52064
 305.17;   11.231;    1.220;   42.196;24.43185
 305.76;    2.917;    0.713;   31.419; 7.17592
 306.36;    4.865;   -4.452;   31.704;25.76884
 306.96;    3.225;   -0.287;   30.296;11.48437
 307.56;    2.809;   -7.920;   34.894;25.05825
 308.16;   -0.801;   -6.718;   35.157;14.13113
 308.75;    8.971;   -4.546;   45.427;27.04912
 309.35;   -9.430;   -1.360;   29.697;-25.98503
 309.95;    6.156;   -0.953;   38.630;17.95956
 310.55;   -2.271;   -2.957;   31.909; 1.96538
 311.15;   12.453;   -8.644;   41.979;41.67546
 311.74;    4.485;  -10.821;   38.265;31.18216
 312.34;   11.079;   -2.351;   37.773;33.47270
 312.94;   -3.347;   -4.655;   36.891; 3.14884
 313.54;    6.879;   -3.115;   40.596;22.86552
 314.13;    7.075;   -0.853;   33.774;22.89462
 314.73;    5.944;   -4.819;   39.583;24.23935
 315.33;   -7.565;   -2.323;   26.973;-17.89281
 315.93;    1.297;    0.214;   38.581; 2.82124
 316.53;   -1.021;   -6.158;   31.271;13.72693
 317.12;    5.771;   -0.513;   49.694;12.51632
 317.72;   -3.663;   -3.695;   35.221; 0.08149
 318.32;   -3.448;   -1.352;   38.141;-5.30612
 318.92;    0.329;   -0.490;   31.549; 2.55922
 319.51;    0.868;   -4.189;   37.187;12.22299
 320.11;   -0.666;    3.009;   33.277;-12.13859
 320.71;    2.060;   -5.889;   39.043;17.69027
 321.30;   12.767;   -2.486;   34.137;41.65043
 321.90;   -4.265;   -1.860;   33.254;-6.84918
 322.50;   -1.582;   -5.388;   38.345; 8.70167
 323.10;    6.735;   -7.687;   29.276;39.01613
 323.69;    2.308;   -6.553;   42.741;17.97608
 324.29;    9.386;   -5.951;   42.504;31.65171
 324.89;    6.701;   -9.553;   37.670;34.41887
 325.49;   -3.399;   -4.656;   37.367; 2.99054
 326.08;    6.305;   -9.953;   39.812;32.67071
 326.68;    0.954;    1.175;   43.228;-0.52450
 327.28;    1.527;   -7.593;   34.163;21.84073
 327.87;    6.157;   -1.491;   44.937;16.47217
 328.47;    5.304;   -6.557;   32.253;30.56105
 329.07;    6.994;   -5.920;   43.019;26.38690
 329.67;    6.673;    4.643;   39.882; 5.76043
 330.26;    9.326;   -2.721;   54.236;21.15099
 330.86;    8.940;   -4.195;   42.590;28.07645
 331.46;    6.131;   -0.263;   41.416;15.34173
 332.05;   10.692;    0.743;   52.207;19.33054
 332.65;   26.411;   -9.483;   66.760;47.07896
 333.25;   19.756;   -5.391;   52.984;43.07849
 333.84;   15.647;   -3.992;   73.157;25.45529
 334.44;   22.472;   -0.658;   74.266;30.87147
 335.04;   22.680;   -3.330;   73.191;33.98976
 335.63;   28.368;    1.468;   78.195;35.05985
 336.23;   28.831;   -4.532;   88.860;35.72411
 336.83;   22.608;    0.059;   87.162;25.88723
 337.42;   40.767;   -5.100;   95.513;45.58810
 338.02;   33.946;   -1.842;  103.177;34.07799
 338.62;   33.860;   -5.639;  106.082;35.35493
 339.21;   41.046;   -4.915;  104.135;42.14655
 339.81;   52.844;   -6.738;  111.247;50.49947
 340.41;   31.492;   -6.052;   99.765;35.48016
 341.00;   32.060;    1.652;  106.824;28.91317
 341.60;   37.025;   -3.445;   98.967;39.51695
 342.20;   15.181;   -6.090;   80.432;24.58500
 342.79;   17.382;    0.147;   73.698;23.43161
 343.39;   26.066;   -6.507;   84.184;35.91628
 343.98;   15.925;   -4.849;   59.035;32.51870
 344.58;   10.914;   -3.514;   65.518;20.89950
 345.18;   13.970;   -5.178;   61.740;28.61398
 345.77;   22.603;   -0.040;   68.986;32.80371
 346.37;   16.954;   -5.709;   69.515;30.12700
 346.97;   23.856;   -4.672;   86.913;31.14954
 347.56;   30.184;   -2.209;   81.732;38.58981
 348.16;   39.805;   -9.068;   86.408;51.18931
 348.75;   39.791;   -2.240;   99.993;41.11321
 349.35;   33.185;    1.524;  105.006;30.59559
 349.95;   17.721;   -4.185;   79.176;26.27870
 350.54;   15.203;   -4.852;   69.218;27.07527
 351.14;   11.567;    0.183;   63.519;17.97495
 351.73;   10.147;   -3.916;   65.248;20.33369
 352.33;   22.876;   -2.449;   73.159;33.49603
 352.93;   29.529;   -3.716;   83.023;38.32773
 353.52;   35.733;   -1.186;   86.689;42.01302
 354.12;   33.927;   -4.710;   93.570;39.31330
 354.71;   30.678;   -1.014;   79.909;39.16337
 355.31;   24.167;   -5.841;   77.644;35.94451
 355.90;   20.850;   -5.013;   55.000;43.09645
 356.50;   19.172;   -8.684;   63.108;38.80073
 357.10;   22.889;   -5.750;   61.772;42.41350
 357.69;   26.246;   -7.139;   72.980;41.66942
 358.29;   27.479;  -12.644;   64.567;51.96560
 358.88;   17.040;   -8.614;   59.100;37.88549
 359.48;   22.639;   -2.578;   61.969;39.06777
 360.07;   22.628;   -4.642;   62.786;40.44340
 360.67;   13.666;   -8.211;   60.218;31.97002
 361.26;   13.891;    2.091;   50.603;24.32434
 361.86;   10.398;   -4.549;   48.533;28.15881
 362.46;   10.759;   -6.679;   62.554;25.18692
 363.05;   13.166;    0.919;   60.782;20.45812
 363.65;   19.331;   -1.537;   77.494;26.40443
 364.24;   11.847;  -11.181;   61.404;31.72548
 364.84;   14.930;   -3.408;   65.108;26.76423
 365.43;   15.178;    1.690;   67.954;20.35384
 366.03;   32.786;   -4.177;   72.385;48.27904
 366.62;   20.317;   -9.380;   78.420;33.82411
 367.22;   27.393;   -6.410;   76.703;40.67191
 367.81;   39.983;    0.325;   84.779;46.95878
 368.41;   36.349;  -10.010;   85.263;48.65909
 369.00;   37.466;   -4.545;   72.925;54.22960
 369.60;   26.631;   -8.015;   82.413;38.31383
 370.19;   34.052;   -3.681;   83.246;43.40752
