
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 268.63;   -2.510;   -7.262;   21.449;16.55071
 269.23;   -4.771;    0.502;   36.076;-14.82378
 269.83;    0.025;   -8.262;   17.924;31.64799
 270.43;  -11.938;   -4.464;   33.670;-19.59914
 271.03;   -3.074;   -1.496;   25.239;-5.90266
 271.63;   -0.677;   -1.428;   26.256; 2.71490
 272.23;   -0.144;   -0.428;   18.894; 1.47005
 272.83;   -0.377;  -10.061;   21.894;30.30524
 273.43;   -2.505;    1.303;   32.829;-12.07861
 274.03;   -2.909;   -5.229;   24.964; 7.68291
 274.63;    0.892;   -2.063;   26.366;10.39318
 275.23;   -4.475;   -8.563;   29.775;10.66233
 275.83;   -2.241;   -0.030;   28.313;-7.80014
 276.43;   -5.212;   -4.094;   20.731;-4.50219
 277.02;   -2.275;    2.737;   16.666;-35.98476
 277.62;   -5.177;   -3.661;   22.126;-5.87862
 278.22;    3.627;   -5.530;   27.885;27.40506
 278.82;   -5.010;   -7.528;   23.729; 8.05603
 279.42;    0.424;   -7.595;   23.665;25.65418
 280.02;    0.695;   -5.664;   38.324;14.45758
 280.62;   -2.040;  -10.530;   30.425;20.72930
 281.22;   -4.674;   -4.296;   27.736;-1.18009
 281.82;   -4.110;   -8.662;   20.291;15.72348
 282.42;   -2.240;   -4.363;   27.076; 6.75166
 283.02;   -4.807;   -6.263;   26.346; 4.46476
 283.62;   -4.806;  -10.697;   31.900;13.82826
 284.22;   -1.279;   -8.027;   14.654;29.75289
 284.81;   -2.408;   -8.329;   22.630;19.12602
 285.41;    1.489;   -1.728;   21.467;13.87048
 286.01;   -1.140;   -1.463;   33.454; 0.92548
 286.61;    0.192;   -2.096;   21.275; 9.79181
 287.21;   -8.409;   -6.962;   28.485;-4.08121
 287.81;    1.223;   -3.228;   15.017;24.39476
 288.41;   -8.008;   -4.029;   30.945;-11.37458
 289.01;    3.557;   -7.362;   22.192;36.94622
 289.61;   -0.207;   -6.797;   37.974;14.71988
 290.20;   -4.710;   -6.729;   25.428; 6.27840
 290.80;    1.427;   -9.464;   25.008;31.59355
 291.40;   -2.676;    2.471;   34.527;-16.05618
 292.00;   -2.712;   -4.694;   26.283; 6.40058
 292.60;   -0.845;   -4.361;   21.762;13.45841
 293.20;    0.023;   -5.495;   33.352;14.20353
 293.80;   -4.012;    0.306;   30.380;-14.35801
 294.40;   -3.341;   -9.196;   42.526;11.32113
 294.99;   -3.312;   -6.294;   23.684; 9.94663
 295.59;  -10.442;   -4.662;   42.994;-12.12715
 296.19;   -5.313;   -5.794;   29.906; 1.34604
 296.79;   -6.009;   -8.462;   39.564; 5.10930
 297.39;   -2.942;   -7.029;   34.803; 9.77010
 297.99;   -2.111;   -2.428;   36.615; 0.81155
 298.59;   -2.544;   -4.795;   33.606; 5.86248
 299.18;    0.819;   -2.526;   26.208;11.64017
 299.78;   -7.178;   -8.394;   31.770; 3.02842
 300.38;   -4.942;   -6.129;   39.056; 2.62605
 300.98;   -4.880;   -3.593;   28.617;-3.99377
 301.58;   -1.846;   -2.694;   32.229; 2.42655
 302.18;   -7.411;   -7.561;   25.170; 0.45728
 302.77;   -6.473;   -8.064;   40.620; 3.26732
 303.37;    0.852;  -12.726;   19.867;41.65935
 303.97;   -6.443;   -8.395;   39.914; 4.04200
 304.57;   -5.314;   -5.360;   24.318; 0.15527
 305.17;   -6.774;   -7.196;   36.965; 0.95581
 305.76;   -8.045;   -8.461;   33.384; 0.99416
 306.36;   -4.344;   -6.128;   42.279; 3.68626
 306.96;    0.988;   -1.161;   32.472; 6.38914
 307.56;   -2.478;   -7.394;   37.705;10.90097
 308.16;   -4.111;   -9.761;   36.088;12.32469
 308.75;   -1.874;   -7.130;   39.448;11.28410
 309.35;   -0.148;   -8.492;   28.632;22.47629
 309.95;   -1.144;   -8.928;   34.024;18.12124
 310.55;    2.920;   -2.927;   34.025;15.82268
 311.15;   -7.973;   -9.664;   40.443; 3.37463
 311.74;    1.288;   -2.894;   31.155;12.28141
 312.34;   -8.410;   -2.062;   41.097;-14.70985
 312.94;    2.887;   -9.194;   30.718;30.26975
 313.54;   -7.775;  -14.096;   44.578;10.77168
 314.13;    0.589;   -8.694;   32.862;22.33863
 314.73;   -7.044;   -7.395;   34.001; 0.84676
 315.33;   -3.380;   -6.127;   30.641; 7.47157
 315.93;   -0.311;   -3.094;   36.949; 6.95111
 316.53;    2.052;   -4.593;   22.354;24.66095
 317.12;   -2.007;  -11.330;   42.748;17.23919
 317.72;   -4.283;   -6.659;   27.174; 7.02172
 318.32;    2.789;  -11.628;   39.446;28.22744
 318.92;   -3.847;   -7.160;   35.377; 7.78829
 319.51;   -5.480;  -13.660;   34.531;16.97533
 320.11;   -7.347;   -3.993;   30.374;-9.76071
 320.71;   -9.413;   -3.760;   33.010;-15.37131
 321.30;   -5.211;   -6.794;   35.560; 3.73806
 321.90;   -9.182;   -7.792;   23.793;-4.40037
 322.50;   -2.645;   -3.527;   37.579; 2.14558
 323.10;   -9.278;   -6.661;   32.713;-6.64717
 323.69;   -7.445;   -8.894;   34.496; 3.34144
 324.29;   -9.810;   -6.262;   35.680;-8.45974
 324.89;   -2.811;   -4.594;   28.027; 5.46650
 325.49;   -1.979;   -4.894;   32.622; 7.76818
 326.08;   -3.978;   -4.361;   35.514; 0.95987
 326.68;   -0.648;   -9.626;   33.832;20.65966
 327.28;   -6.115;   -9.592;   34.314; 7.91926
 327.87;   -9.847;   -7.360;   44.037;-4.84019
 328.47;   -8.914;   -4.727;   34.113;-10.78060
 329.07;   -1.678;   -5.894;   49.034; 7.67613
 329.67;    4.587;  -10.960;   39.228;30.97679
 330.26;   -7.146;  -12.761;   45.458; 9.64480
 330.86;   -5.016;   -7.659;   42.309; 5.28804
 331.46;  -10.517;  -11.792;   36.787; 2.62366
 332.05;   -2.880;    0.140;   51.724;-5.85438
 332.65;    0.490;  -10.029;   61.792;14.64627
 333.25;  -10.514;   -5.393;   53.395;-8.71071
 333.84;   -3.014;   -9.359;   56.496; 9.63467
 334.44;   -3.048;   -7.960;   62.151; 7.00597
 335.04;   -3.550;  -11.225;   58.624;10.98713
 335.63;   -2.885;  -11.524;   63.207;11.56029
 336.23;   -2.518;   -7.091;   74.106; 5.63136
 336.83;    0.810;    1.212;   65.412;-0.62556
