FES0800
Integration time [ms]:   2.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 268.03;    5.710;   -7.669;  -14.819; 0.00000
 268.63;  -10.318;   -1.704;   13.277;-57.49737
 269.23;   -1.132;   -5.518;    1.131;65.95830
 269.83;    2.159;   -8.465;    2.200;99.61981
 270.43;   12.744;   -2.388;   12.994;98.37714
 271.03;   -3.298;    4.210;    8.068;-194.59620
 271.63;   -8.625;    9.357;    5.167; 0.00000
 272.23;   -6.156;   -0.533;   -3.683; 0.00000
 272.83;   19.644;   -6.333;    9.217;167.05773
 273.43;   -7.077;   -5.375;    1.360;-25.26801
 274.03;    7.825;    5.671;   -1.455; 0.00000
 274.63;   -8.820;    5.431;    8.133;-527.58627
 275.23;   12.072;  -11.989;   19.520;76.36227
 275.83;   -5.376;    3.598;   -4.197; 0.00000
 276.43;   -2.415;   10.451;   -1.478; 0.00000
 277.02;   -9.520;   15.131;    5.433; 0.00000
 277.62;  -10.055;  -10.942;    7.418; 4.82903
 278.22;   -7.124;    5.985;    2.785; 0.00000
 278.82;   -9.630;  -12.589;   11.558;12.25586
 279.42;   -3.976;    4.480;    1.344; 0.00000
 280.02;    1.555;  -10.794;    6.711;70.54572
 280.62;   -2.958;  -10.179;   12.931;31.24592
 281.22;    8.005;    0.884;   12.273;62.52911
 281.82;    3.402;   19.992;   -0.990; 0.00000
 282.42;   -0.172;   -7.238;   13.708;33.73019
 283.02;   -9.875;    4.389;   -3.496; 0.00000
 283.62;    4.664;   -3.391;   -4.635; 0.00000
 284.22;   -9.035;   17.546;    0.591; 0.00000
 284.81;   -7.118;    2.314;   11.835;-99.05654
 285.41;   -9.161;    5.420;    2.108; 0.00000
 286.01;    3.946;   -6.414;   13.037;53.26102
 286.61;  -13.100;    8.637;    1.564; 0.00000
 287.21;    3.036;   -0.835;   -0.437; 0.00000
 287.81;   -5.548;   -5.313;    4.830;-2.32126
 288.41;   -4.103;   -0.137;   12.360;-31.73921
 289.01;   -5.398;    9.201;    7.508; 0.00000
 289.61;   -1.943;   -2.929;    0.555;28.31317
 290.20;  -10.301;   10.527;   -0.696; 0.00000
 290.80;    1.584;   -7.395;    0.198;118.25115
 291.40;   -8.271;   -3.964;    1.051;-85.87303
 292.00;    0.397;  -22.673;   -9.458;174.57088
 292.60;   -5.014;   -6.367;    0.225;20.52649
 293.20;   11.651;    0.996;    8.328;145.32279
 293.80;  -11.929;    7.884;    1.101; 0.00000
 294.40;    8.513;   -6.596;    1.585;184.67541
 294.99;  -11.332;   -4.281;    8.095;-56.97683
 295.59;   -2.644;  -10.630;   -2.506;98.29601
 296.19;    2.222;   16.970;    3.722; 0.00000
 296.79;    6.453;    6.597;    0.790; 0.00000
 297.39;   -2.852;   -6.759;   -2.217;86.03595
 297.99;    7.426;   -2.656;    4.888;133.63971
 298.59;   -6.138;    5.490;    6.045; 0.00000
 299.18;    3.935;    3.119;    7.785;17.48397
 299.78;   -9.592;    5.521;    2.160; 0.00000
 300.38;   -2.368;   -0.900;    4.157;-29.03140
 300.98;    5.812;    3.968;    8.607;39.75271
 301.58;    4.530;   -9.409;    1.335;129.73093
 302.18;   -1.592;   -0.279;    3.860;-31.72539
 302.77;    1.674;   -1.798;   -2.917; 0.00000
 303.37;  -10.258;    6.358;    3.895; 0.00000
 303.97;   -5.089;   -0.996;    5.024;-67.97290
 304.57;   -5.517;   -7.649;    1.161;24.20231
 305.17;  -10.191;   -3.752;   -1.422;-276.36777
 305.76;  -11.704;    5.836;    9.141;-530.69851
 306.36;   -1.343;    0.143;    4.937;-31.01486
 306.96;   -8.722;    0.413;   -0.988; 0.00000
 307.56;   -4.094;    5.039;   -3.943; 0.00000
 308.16;   -1.852;   10.323;    7.424; 0.00000
 308.75;    2.923;   -5.993;   -3.899;425.70496
 309.35;   -2.585;    6.214;   -3.246; 0.00000
 309.95;    2.219;   -8.385;    7.077;68.58121
 310.55;    1.305;   -0.771;   -5.803; 0.00000
 311.15;   13.983;   -6.086;    0.297;314.42060
 311.74;  -12.736;    1.454;  -10.610; 0.00000
 312.34;    1.769;  -10.981;   20.057;41.07874
 312.94;   -0.860;   14.693;    4.051; 0.00000
 313.54;    0.641;   -6.988;    0.471;102.27958
 314.13;   -8.986;    5.959;   -3.830; 0.00000
 314.73;   -7.162;   -0.171;    0.807; 0.00000
 315.33;   -9.780;   11.488;   -2.180; 0.00000
 315.93;   -9.875;   -5.747;    4.387;-40.73292
 316.53;    2.953;    4.243;    0.114; 0.00000
 317.12;    5.623;   -6.593;   -7.799; 0.00000
 317.72;   -3.648;   11.642;    5.552; 0.00000
 318.32;    6.328;   -5.074;    1.191;181.99572
 318.92;    9.789;    2.089;    2.971; 0.00000
 319.51;   -1.872;    5.308;    7.032;-416.47986
 320.11;    0.364;   -0.064;  -10.169; 0.00000
 320.71;    3.546;  -10.869;   -5.939;292.40873
 321.30;   -2.084;    0.841;    4.172;-87.81740
 321.90;  -10.608;   -2.856;    6.217;-85.44638
 322.50;   -1.328;   10.275;    5.802; 0.00000
 323.10;    3.700;   -4.899;    8.747;63.01641
 323.69;   -5.486;    9.459;   -7.330; 0.00000
 324.29;    1.584;   -1.222;    5.380;42.49914
 324.89;   -9.484;   11.241;   -4.728; 0.00000
 325.49;   -2.964;   -9.471;   -6.055;190.46465
 326.08;   -8.701;   19.109;   -3.055; 0.00000
 326.68;   -7.757;   -5.860;   -5.402; 0.00000
 327.28;   -1.898;    6.447;    5.332; 0.00000
 327.87;   -6.933;   -0.690;    8.435;-68.41554
 328.47;   -6.313;   -0.094;    2.768;-217.32041
 329.07;    3.310;   -5.597;   -1.338;209.11437
 329.67;   -0.597;    7.456;   10.892;-234.35606
 330.26;   -0.938;   -9.028;    4.287;60.76030
 330.86;  -13.349;   16.051;   -3.349; 0.00000
 331.46;   -5.887;    3.723;   -9.009; 0.00000
 332.05;    2.806;    0.421;   18.198;13.41977
 332.65;   -1.098;  -11.899;   -9.192;398.94800
 333.25;   -6.325;    8.130;    3.348; 0.00000
 333.84;    2.545;    3.422;    4.201; 0.00000
 334.44;    4.355;   -0.475;   -0.783; 0.00000
 335.04;    4.809;  -13.142;    3.885;105.42784
 335.63;   -5.860;   17.039;  -14.025; 0.00000
 336.23;   -4.159;   -9.670;    6.676;33.71178
 336.83;   -3.717;    3.869;   15.566;-64.85920
 337.42;   -3.208;    0.908;   11.599;-38.49622
 338.02;  -24.251;   12.797;    2.913; 0.00000
 338.62;   -1.758;   -7.115;    6.361;39.75201
 339.21;  -11.650;   12.961;   -6.804; 0.00000
 339.81;  -15.430;    7.111;    6.405; 0.00000
 340.41;    4.443;    8.313;    4.926; 0.00000
 341.00;    3.854;   -0.484;    2.403;150.25665
 341.60;    2.259;    5.790;    8.169;-148.44947
 342.20;    2.493;    3.782;    6.689;-44.32370
 342.79;    4.129;   16.746;    7.105; 0.00000
 343.39;    7.901;    2.392;    3.295; 0.00000
 343.98;  -13.677;   15.626;   -0.947; 0.00000
 344.58;    1.897;    4.192;    2.172; 0.00000
 345.18;   -6.544;    8.317;    8.065; 0.00000
 345.77;   -6.100;    1.701;    2.293; 0.00000
 346.37;    1.948;   14.114;    2.911; 0.00000
 346.97;   -9.557;   -4.823;    5.062;-47.88429
 347.56;   -0.760;   17.185;  -10.601; 0.00000
 348.16;   -4.533;    0.456;    5.159;-106.06133
 348.75;   -7.189;    8.695;    6.211; 0.00000
 349.35;    2.624;   -2.956;    5.973;62.49142
 349.95;    0.652;   17.225;    7.340; 0.00000
 350.54;   -7.852;    9.460;    5.435; 0.00000
 351.14;    1.888;   19.262;   -1.901; 0.00000
 351.73;   -2.583;   15.179;    6.345; 0.00000
 352.33;  -13.274;    8.791;    8.159; 0.00000
 352.93;   -2.386;    3.114;   14.139;-49.89480
 353.52;    4.633;   20.111;   -4.490; 0.00000
 354.12;    5.998;    9.801;   10.532; 0.00000
 354.71;   -8.126;    8.022;    0.435; 0.00000
 355.31;   -1.824;    2.431;    7.256;-88.18113
 355.90;    4.205;   18.921;    9.283; 0.00000
 356.50;   -3.421;   -0.049;    8.685;-38.59638
 357.10;    2.107;    7.576;   16.229;-63.20512
 357.69;    2.229;    6.809;    9.341;-180.92316
 358.29;    2.386;   15.025;    1.112; 0.00000
 358.88;  -10.109;    6.854;    1.362; 0.00000
 359.48;   -5.029;   -2.334;   17.789;-13.39330
 360.07;   -3.654;   -0.568;   16.108;-18.50703
 360.67;   -7.335;    0.828;   13.279;-65.56426
 361.26;   -2.361;   -3.897;   11.296;10.10861
 361.86;  -11.063;    8.584;    9.676;-1799.62021
 362.46;   -2.350;    4.170;   18.056;-46.94691
 363.05;   -2.315;    8.615;   11.752;-348.51722
 363.65;    3.405;    3.766;   14.661;-3.31455
 364.24;   -7.311;    3.771;   13.659;-112.07838
 364.84;   -1.323;   -7.578;   18.958;23.57209
 365.43;    3.018;    6.706;   27.563;-17.68366
 366.03;    4.792;   -2.237;   34.722;19.01843
 366.62;   -9.704;    7.900;   31.070;-75.97794
 367.22;    7.198;   -3.099;   30.432;30.70963
 367.81;  -14.452;    0.405;   41.412;-36.23067
 368.41;    1.101;   -6.326;   30.936;19.93057
 369.00;  -15.851;    1.487;   43.153;-41.61377
 369.60;   -6.655;    2.905;   36.689;-28.29598
 370.19;   -7.028;    6.739;   48.332;-33.10018
 370.79;    6.146;   18.796;   44.990;-48.29193
 371.38;   -2.707;    9.318;   60.706;-23.40001
 371.98;    2.728;   -2.809;   45.220;11.52846
 372.57;   -9.053;   10.169;   61.233;-37.64265
 373.17;   -0.241;   -8.246;   68.052;10.49151
 373.76;  -16.291;   10.341;   62.073;-51.47866
 374.36;    1.725;   10.435;   69.775;-14.67886
 374.95;   -9.171;   17.146;   75.605;-45.01785
 375.55;   -6.263;    4.584;   79.276;-14.52274
 376.14;  -14.166;    8.402;   83.612;-30.00677
 376.74;  -13.989;    0.041;   92.235;-15.21788
 377.33;  -12.257;    9.540;   99.545;-24.21801
 377.93;    0.119;    8.261;  113.348;-7.74813
 378.52;  -13.423;   19.295;  105.939;-37.76200
 379.11;   -0.341;   -0.419;  137.570; 0.05666
 379.71;  -11.302;   14.665;  124.215;-23.70279
 380.30;    6.207;    1.130;  154.405; 3.31207
