
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 271.63;   23.698;   -0.484;   15.112;155.04479
 272.23;   23.533;    0.315;   16.093;147.15388
 272.83;   24.433;    0.181;   20.693;118.23418
 273.43;   21.369;   -3.443;   31.044;71.94361
 274.03;   22.132;   -6.949;   22.419;99.02258
 274.63;   21.477;   -1.547;   23.645;91.39525
 275.23;   19.127;   -5.014;   22.032;89.25923
 275.83;   21.767;   -2.513;   28.165;79.14403
 276.43;   22.779;    0.213;   19.512;116.92676
 277.02;   20.744;   -6.881;   19.911;103.10647
 277.62;   21.869;   -1.885;   22.224;98.52465
 278.22;   25.040;    2.789;   27.298;90.78753
 278.82;   20.587;   -5.584;   25.726;83.58475
 279.42;   20.730;   -3.149;   24.221;87.24462
 280.02;   22.868;   -0.408;   29.595;77.57982
 280.62;   14.170;    1.221;   28.819;46.92037
 281.22;   26.362;   -8.380;   29.980;90.56723
 281.82;   21.186;   -5.083;   21.510;98.78187
 282.42;   26.307;   -5.779;   22.922;111.79437
 283.02;   21.702;   -1.713;   27.429;80.34687
 283.62;   21.214;   -0.411;   25.363;83.90211
 284.22;   18.505;   -5.755;   20.930;90.91467
 284.81;   18.181;   -4.214;   27.307;71.04729
 285.41;   26.589;    0.815;   23.440;113.91611
 286.01;   27.044;   -3.845;   37.676;74.39388
 286.61;   25.284;   -4.247;   21.561;114.42778
 287.21;   26.320;   -3.516;   27.791;95.30234
 287.81;   18.650;   -4.285;   26.472;74.56691
 288.41;   25.945;   -5.480;   31.234;85.59412
 289.01;   21.351;   -6.517;   23.779;91.98534
 289.61;   27.901;   -7.678;   28.713;97.77008
 290.20;   23.579;   -1.083;   28.952;82.10857
 290.80;   24.990;   -0.211;   29.744;84.12942
 291.40;   24.039;  -10.449;   35.443;75.15075
 292.00;   27.471;    0.246;   25.413;108.17786
 292.60;   24.049;    1.446;   24.608;97.58964
 293.20;   33.715;    4.348;   26.975;129.78801
 293.80;   25.485;   -3.488;   25.180;101.06266
 294.40;   32.645;   -2.280;   41.893;79.06423
 294.99;   24.144;   -6.355;   27.256;90.74123
 295.59;   23.161;   -6.915;   37.874;67.15032
 296.19;   23.517;    4.044;   34.140;64.70295
 296.79;   35.022;   -0.182;   42.614;82.25988
 297.39;   28.213;    0.085;   37.192;75.80159
 297.99;   29.830;   -5.886;   35.906;85.46125
 298.59;   31.470;   -5.785;   35.114;91.09092
 299.18;   27.441;   -9.092;   24.762;107.91386
 299.78;   31.793;   -7.720;   35.586;91.24312
 300.38;   33.013;   -5.916;   38.734;87.18775
 300.98;   28.264;    0.410;   25.832;109.56354
 301.58;   28.934;   -5.622;   34.453;86.22791
 302.18;   24.693;    0.914;   34.786;70.20491
 302.77;   26.003;   -6.311;   40.802;68.58744
 303.37;   24.954;   -4.959;   17.446;133.51174
 303.97;   33.571;   -4.483;   34.887;96.65772
 304.57;   28.072;   -3.991;   33.206;86.19617
 305.17;   30.869;    1.220;   41.271;74.02824
 305.76;   29.103;    0.713;   34.616;83.73948
 306.36;   29.426;   -4.452;   31.461;94.33291
 306.96;   34.733;   -0.287;   32.395;107.15300
 307.56;   33.090;   -7.920;   30.323;107.23312
 308.16;   29.943;   -6.718;   36.048;85.72303
 308.75;   30.898;   -4.546;   37.200;84.90357
 309.35;   23.801;   -1.360;   25.546;93.51336
 309.95;   33.149;   -0.953;   33.458;99.10157
 310.55;   31.518;   -2.957;   31.582;99.81354
 311.15;   37.021;   -8.644;   43.913;86.88769
 311.74;   32.603;  -10.821;   29.999;106.38130
 312.34;   26.951;   -2.351;   37.729;73.11056
 312.94;   27.721;   -4.655;   33.694;84.42319
 313.54;   35.565;   -3.115;   34.111;103.90635
 314.13;   34.806;   -0.853;   40.469;86.29505
 314.73;   32.454;   -4.819;   36.309;90.62564
 315.33;   35.414;   -2.323;   33.312;105.89843
 315.93;   31.461;    0.214;   32.508;96.75847
 316.53;   31.811;   -6.158;   23.716;127.09814
 317.12;   29.732;   -0.513;   42.200;70.80783
 317.72;   28.537;   -3.695;   25.077;112.02785
 318.32;   33.100;   -1.352;   43.435;76.92556
 318.92;   33.318;   -0.490;   34.157;97.57858
 319.51;   33.197;   -4.189;   35.158;95.01650
 320.11;   25.967;    3.009;   36.388;68.77841
 320.71;   27.267;   -5.889;   35.945;79.25578
 321.30;   28.943;   -2.486;   38.498;76.68640
 321.90;   34.120;   -1.860;   26.239;128.04408
 322.50;   27.820;   -5.388;   30.578;92.33188
 323.10;   35.077;   -7.687;   35.273;99.54343
 323.69;   30.273;   -6.553;   47.503;68.12568
 324.29;   32.714;   -5.951;   43.758;77.78214
 324.89;   34.443;   -9.553;   31.998;105.88454
 325.49;   31.513;   -4.656;   29.537;105.78033
 326.08;   26.042;   -9.953;   46.942;63.26542
 326.68;   35.558;    1.175;   34.175;104.19130
 327.28;   34.607;   -7.593;   32.747;104.60887
 327.87;   37.339;   -1.491;   38.881;96.17930
 328.47;   34.514;   -6.557;   35.161;98.44856
 329.07;   37.797;   -5.920;   43.114;89.15601
 329.67;   34.312;    4.643;   46.822;70.34027
 330.26;   37.366;   -2.721;   55.237;69.16710
 330.86;   31.102;   -4.195;   47.212;68.66178
 331.46;   38.625;   -0.263;   37.176;103.87078
 332.05;   43.053;    0.743;   55.713;76.96861
 332.65;   49.517;   -9.483;   61.145;83.53635
 333.25;   42.455;   -5.391;   57.694;75.84430
 333.84;   56.195;   -3.992;   70.137;81.19225
 334.44;   49.382;   -0.658;   71.711;69.14490
 335.04;   58.918;   -3.330;   74.352;80.13167
 335.63;   63.077;    1.468;   75.330;83.41090
 336.23;   57.845;   -4.532;   90.994;65.29863
 336.83;   72.752;    0.059;   81.523;89.23329
 337.42;   70.313;   -5.100;   94.585;75.65094
 338.02;   73.718;   -1.842;   96.675;76.69685
 338.62;   82.673;   -5.639;  103.337;81.03782
 339.21;   76.344;   -4.915;   92.388;83.51148
 339.81;   91.130;   -6.738;  115.299;80.19520
 340.41;   83.592;   -6.052;  101.029;83.71635
 341.00;   81.120;    1.652;  107.976;74.74108
 341.60;   76.932;   -3.445;   99.042;78.42716
 342.20;   78.388;   -6.090;   74.079;105.37491
 342.79;   72.965;    0.147;   74.364;98.11518
 343.39;   62.689;   -6.507;   81.010;79.06527
 343.98;   59.622;   -4.849;   61.590;97.03782
 344.58;   57.874;   -3.514;   62.999;92.29576
 345.18;   54.260;   -5.178;   60.549;90.43260
 345.77;   64.954;   -0.040;   70.846;91.68768
 346.37;   56.014;   -5.709;   65.380;86.82506
 346.97;   57.075;   -4.672;   81.635;71.54336
 347.56;   52.466;   -2.209;   74.065;71.68228
 348.16;   65.928;   -9.068;   92.817;73.60883
 348.75;   70.876;   -2.240;   87.352;81.60994
 349.35;   74.533;    1.524;   90.206;82.32622
 349.95;   75.144;   -4.185;   81.073;93.04623
 350.54;   68.670;   -4.852;   67.915;101.03729
 351.14;   56.252;    0.183;   62.778;89.57513
 351.73;   53.611;   -3.916;   61.571;87.84556
 352.33;   64.396;   -2.449;   69.614;92.75896
 352.93;   76.837;   -3.716;   87.080;88.71891
 353.52;   81.005;   -1.186;   89.321;90.81218
 354.12;   75.280;   -4.710;  100.273;76.19280
 354.71;   65.393;   -1.014;   79.892;82.07975
 355.31;   53.973;   -5.841;   67.406;81.66023
 355.90;   59.256;   -5.013;   62.813;94.75460
 356.50;   57.334;   -8.684;   63.034;92.05197
 357.10;   55.458;   -5.750;   64.363;87.29882
 357.69;   59.414;   -7.139;   66.870;89.92609
 358.29;   57.987;  -12.644;   66.706;89.01278
 358.88;   49.728;   -8.614;   60.581;84.31504
 359.48;   43.791;   -2.578;   57.809;76.78655
 360.07;   47.177;   -4.642;   63.984;75.50874
 360.67;   48.045;   -8.211;   54.392;89.86170
 361.26;   46.262;    2.091;   55.770;82.28846
 361.86;   44.285;   -4.549;   52.887;85.02359
 362.46;   56.183;   -6.679;   59.829;94.51710
 363.05;   52.182;    0.919;   58.531;88.97980
 363.65;   49.935;   -1.537;   62.509;80.36669
 364.24;   52.924;  -11.181;   59.486;90.71479
 364.84;   56.474;   -3.408;   68.404;83.38816
 365.43;   52.687;    1.690;   63.623;82.34218
 366.03;   59.900;   -4.177;   75.256;80.66807
 366.62;   57.639;   -9.380;   68.168;86.42336
 367.22;   59.580;   -6.410;   81.973;74.66311
 367.81;   67.949;    0.325;   81.744;83.05680
 368.41;   63.185;  -10.010;   79.366;81.89544
 369.00;   65.279;   -4.545;   79.134;83.44288
 369.60;   59.335;   -8.015;   83.099;73.91799
 370.19;   48.523;   -3.681;   81.697;61.14493
 370.79;   45.236;   -6.949;   84.697;56.94240
 371.38;   41.628;   -8.284;   78.833;57.29327
 371.98;   49.670;   -5.213;   83.420;61.92141
 372.57;   45.468;   -3.552;   77.217;60.69139
 373.17;   50.359;  -11.485;   74.854;71.62872
 373.76;   42.324;  -10.387;   78.714;59.15873
 374.36;   50.168;   -6.476;   84.871;62.00992
 374.95;   50.665;  -10.219;   71.297;74.68947
 375.55;   45.685;   -7.482;   81.420;59.80403
 376.14;   49.307;   -4.619;   78.352;64.99411
